name,acronym,source,faculty,institute,number_women,number_men,,
Laboratory of Statistical Biophysics,LBS,https://www.epfl.ch/labs/lbs/,SB,IPHYS,,,,
Computer Communications and Applications Laboratory 1,LCA1,https://lca1.epfl.ch/,IC,,,,,
Laboratory for Communications and Applications 2,LCA2,https://www.epfl.ch/labs/lca2/,IC,,,,,
Audiovisual Communications Laboratory,LCAV,https://www.epfl.ch/labs/lcav/,IC,,,,,
Laboratory of Computational Chemistry and Biochemistry,LCBC,https://www.epfl.ch/labs/lcbc/,SB,ISIC,,,,
Laboratory of Biophysical Chemistry of Macromolecules,LCBM,https://www.epfl.ch/labs/lcbm/,SB,ISIC,,,,
Construction and Conservation Laboratory,LCC,https://www.epfl.ch/labs/lcc/,ENAC,IA,,,,
Environmental Chemistry Laboratory,LCE,https://www.epfl.ch/labs/lce/,ENAC,IIE,,,,
Laboratory of Hydraulic Constructions,LCH,https://www.epfl.ch/labs/lch/,ENAC,IIC,,,,
Laboratory for Computational Molecular Design,LCMD,https://www.epfl.ch/labs/lcmd/,SB,ISIC,,,,
Laboratory of Computational Neuroscience,LCN,https://www.epfl.ch/labs/lcn/,IC,BMI,,,,
Laboratory of Organometallic and Medicinal Chemistry,LCOM,https://www.epfl.ch/labs/lcom/,SB,ISIC,,,,
Laboratory of Molecular Physical Chemistry,LCPM,https://www.epfl.ch/labs/lcpm/,SB,ISIC,,,,
Laboratory of Theoretical Physical Chemistry,LCPT,https://www.epfl.ch/labs/lcpt/,SB,ISIC,,,,
Laboratory of Supramolecular Chemistry,LCS,https://www.epfl.ch/labs/lcs/,SB,ISIC,,,,
Laboratory of Asymmetric Catalysis and Synthesis,LCSA,https://www.epfl.ch/labs/lcsa/,SB,ISIC,,,,
Laboratory of Computational Systems Biotechnology,LCSB,https://www.epfl.ch/labs/lcsb/,SB,ISIC,,,,
Laboratory of Catalysis and Organic Synthesis,LCSO,https://www.epfl.ch/labs/lcso/,SB,ISIC,,,,
Laboratory for Computation and Visualization in Mathematics and Mechanics,LCVMM,https://www.epfl.ch/labs/lcvmm/,SB,MATH,,,,
Media and Design Laboratory,LDM1,https://www.epfl.ch/labs/ldm/,IC,IA,,,,
Laboratory of electrophiles and genome operation,LEAGO,https://www.epfl.ch/labs/leago/,SB,ISIC,,,,
Laboratory of Experimental Biophysics,LEB,https://www.epfl.ch/labs/leb/,SB,IPHYS,,,,
Laboratory of Experimental Rock Mechanics,LEMR,https://www.epfl.ch/labs/lemr/,ENAC,IIC,,,,
Laboratory of Physical and Analytical Electrochemistry,LEPA,https://www.epfl.ch/labs/lepa/,SB,ISIC,,,,
Solar Energy and Building Physics Laboratory,LESO-PB,https://www.epfl.ch/labs/leso/,ENAC,IIC,,,,
Laboratory of Environmental and Urban Economics,LEURE,https://www.epfl.ch/labs/leure/,ENAC,IA,,,,
Laboratory for Functional Inorganic Materials,LFIM,https://www.epfl.ch/labs/lfim/,SB,ISIC,,,,
Laboratory of Fluid Mechanics and Instabilities,LFMI,https://www.epfl.ch/labs/lfmi/,STI,IGM,,,,
Laboratory for Biological Geochemistry,LGB,https://www.epfl.ch/labs/lgb/,ENAC,IIE,,,,
Laboratory of Behavioral Genetics,LGC,https://www.epfl.ch/labs/lgc/,SV,BMI,,,,
"Computer Graphics and Geometry Laboratory ",LGG,https://lgg.epfl.ch/,IC,,,,,
Environmental Hydraulics Laboratory,LHE,https://www.epfl.ch/labs/lhe/,ENAC,IIC,,,,
Laboratoire d'Histoire des Sciences et des Techniques,LHST,https://www.epfl.ch/labs/lhst/,CDH,DHI,,,,
Laboratory of Hemodynamics and Cardiovascular Technology,LHTC,https://www.epfl.ch/labs/lhtc/,STI,IBI,,,,
Biomedical Imaging Laboratory,LIB,https://bigwww.epfl.ch/,STI,IMT,,,,
L'IDIAP Laboratory,LIDIAP,https://www.epfl.ch/labs/idiap/,STI,IEL,,,,
Laboratoire d'Imagination et de Fabrication,LIF,https://www.epfl.ch/labs/lif/,ENAC,IA,,,,
Laboratory for Functional and Metabolic Imaging,LIFMET,https://www.epfl.ch/labs/lifmet/,SB,IPHYS,,,,
Laboratory for Molecular Engineering of Optoelectronic Nanomaterials,LIMNO,https://www.epfl.ch/labs/limno/,SB,ISIC,,,,
Laboratory for Information in Networked Systems,LINX,https://www.epfl.ch/labs/linx/,IC,,,,,
Laboratory for Information and Inference Systems,LIONS,https://www.epfl.ch/labs/lions/,STI,IEL,,,,
Laboratory of Protein Engineering,LIP,https://www.epfl.ch/labs/lip/,SB,ISIC,,,,
Laboratory of Integrated Performance in Design,LIPID,https://www.epfl.ch/labs/lipid/,ENAC,IA,,,,
Laboratory of Intelligent Systems,LIS,https://www.epfl.ch/labs/lis/,STI,IMT,,,,
Laboratory of Integrative Systems Physiology,LISP,https://www.epfl.ch/labs/auwerx-lab/,SV,IBI,,,,
Laboratory of Algorithmic Mathematics,LMA,https://algo.epfl.ch/,SB,MATH,,,,
Laboratory of Applied Mechanics and Reliability Analysis,LMAF,https://www.epfl.ch/labs/lmaf/,STI,IGM,,,,
Laboratory of Movement Analysis and Measurement,LMAM,https://www.epfl.ch/labs/lmam/,STI,IBI,,,,
Laboratory of Construction Materials,LMC,https://www.epfl.ch/labs/lmc/,STI,IMX,,,,
Laboratory of Materials for Renewable Energy,LMER,https://www.epfl.ch/labs/lmer/,SB,ISIC,,,,
Laboratory of Nanoscale Magnetic Materials and Magnonics,LMGN,https://www.epfl.ch/labs/lmgn/,STI,IMX,,,,
Microsystems Laboratory 1,LMIS1,https://www.epfl.ch/labs/lmis1/,STI,IMT,,,,
Microsystems Laboratory 2,LMIS2,https://www.epfl.ch/labs/lmis2/,STI,IMT,,,,
Microsystems Laboratory 4,LMIS4,https://www.epfl.ch/labs/lmis4/,STI,IMT,,,,
Laboratory of Mechanical Metallurgy,LMM,https://www.epfl.ch/labs/lmm/,STI,IMX,,,,
Laboratory of Molecular and Chemical Biology of Neurodegeneration,LMNN,https://www.epfl.ch/labs/lashuel-lab/,SV,BMI,,,,
Laboratory of Macromolecular and Organic Materials,LMOM,https://www.epfl.ch/labs/lmom/,STI,IMX,,,,
Laboratory of Soil Mechanics,LMS,https://www.epfl.ch/labs/lms/,ENAC,IIC,,,,
Laboratory of Semiconductor Materials,LMSC,https://www.epfl.ch/labs/lmsc/,STI,IMX,,,,
Laboratory of Thermomechanical Metallurgy - PX Group Chair,LMTM,https://www.epfl.ch/labs/lmtm/,STI,IMX,,,,
Soft Transducers Laboratory,LMTS,https://www.epfl.ch/labs/lmts/,STI,IMT,,,,
Laboratory of Nanobiotechnology,LNB,https://www.epfl.ch/labs/lnb/,SB,ISIC,,,,
Laboratory of Nanochemistry for Energy,LNCE,https://www.epfl.ch/labs/lnce/,SB,ISIC,,,,
Foundation Bertarelli Chair in Cognitive Neuroprosthetics,LNCO,https://www.epfl.ch/labs/lnco/,SV,BMI,,,,
Laboratory of Molecular Nanodynamics,LND,https://www.epfl.ch/labs/lnd/,SB,ISIC,,,,
Neuro Engineering Laboratory - Medtronic Chair in Neuro Engineering,LNE,https://www.epfl.ch/labs/lne/,STI,IBI,,,,
Laboratory of Nanoscience for Energy Technologies,LNET,https://www.epfl.ch/labs/lnet/,STI,IGM,,,,
Laboratory of Neural Microcircuitry,LNMC,https://www.epfl.ch/labs/markram-lab/,SV,BMI,,,,
Laboratory of Nanostructures at Surfaces,LNS,https://www.epfl.ch/labs/lns/,SB,IPHYS,,,,
Optics Laboratory,LO,https://www.epfl.ch/labs/lo/,STI,IMT,,,,
Laboratory of Chemical and Biological Probes,LOCBP,https://www.epfl.ch/labs/locbp/,SB,ISIC,,,,
Polymers Laboratory,LP,https://www.epfl.ch/labs/lp/,STI,IMX,,,,
Laboratory for Processing of Advanced Composites,LPAC,https://www.epfl.ch/labs/lpac/,STI,IMX,,,,
Particle Accelerator Physics Laboratory,LPAP,https://www.epfl.ch/labs/lpap/,SB,IPHYS,,,,
Laboratory of the Physics of Biological Systems,LPBS,https://www.epfl.ch/labs/lpbs/,SB,IPHYS,,,,
Laboratory of Sustainable and Catalytic Processing,LPDC,https://www.epfl.ch/labs/lpdc/,SB,ISIC,,,,
Laboratory of Protein Design &amp; Immunoengineering,LPDI,https://www.epfl.ch/labs/lpdi/,STI,IBI,,,,
High Energy Physics Laboratory,LPHE,https://www.epfl.ch/labs/lphe/,SB,IPHYS,,,,
Laboratory of Photonics and Interfaces,LPI,https://www.epfl.ch/labs/lpi/,SB,ISIC,,,,
Photonic Materials and Characterization,LPMAT,https://www.epfl.ch/labs/lpmat/,STI,IMT,,,,
Laboratory of Nanostructures and Novel Electronic Materials,LPMC,https://www.epfl.ch/labs/lpmc/,SB,IPHYS,,,,
Laboratory of the Physics of Nanostructured Materials,LPMN,https://www.epfl.ch/labs/lpmn/,SB,IPHYS,,,,
Laboratory of Physics of Living Matter,LPMV,https://www.epfl.ch/labs/lpmv/,SB,IPHYS,,,,
Laboratory of Particle Physics and Cosmology,LPPC,https://www.epfl.ch/labs/lppc/,SB,IPHYS,,,,
